Name,GPU_Brand,GPU_Chipset,Model,Memory_Size,Memory_Type,Base_Clock,Boost_Clock,TDP,Interface,Length,Cooling_Type,Power_Connectors,SLI_Support,CrossFire_Support,DisplayPort,HDMI,G-SYNC_Support,FreeSync_Support,Expansion_Slots,Seller_Product_URL,Price
ASUS Dual GeForce RTX 3060 Ti White OC Edition39th / 101,NVIDIA,GeForce RTX 3060 Ti,dual-rtx3060ti-o8gd6x-white90YV0IP2-M0NA0090YV0IP2-M0AA00,8.0,GDDR6X,1410.0,1710.0,200.0,PCIe x16,230.0,2 Fans,28.0,No,No,3.0,1.0,Yes,No,2.0,https://www.awin1.com/pclick.php?p=38532672924&a=818035&m=31828,429.99
ASUS Dual GeForce RTX 4060 EVO White OC Edition...48th / 101,NVIDIA,GeForce RTX 4060,DUAL-RTX4060-O8G-EVO-WHITE90YV0JCB-M0NA00,8.0,GDDR6,1830.0,2535.0,115.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1860561-REG/asus_dual_rtx4060_o8g_evo_white_dual_geforce_rtx_4060.html/BI/21936/KBID/28297,349.99
ASUS Dual GeForce RTX 4060 EVO White OC Edition...48th / 101,NVIDIA,GeForce RTX 4060,DUAL-RTX4060-O8G-EVO-WHITE90YV0JCB-M0NA00,8.0,GDDR6,1830.0,2535.0,115.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126741%26ignorebbr%3d1,349.99
ASUS Dual GeForce RTX 4060 OC Edition48th / 101,NVIDIA,GeForce RTX 4060,DUAL-RTX4060-O8G,8.0,GDDR6,1830.0,2535.0,115.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1773437-REG/asus_dual_rtx4060_o8g_geforce_rtx_4060_dual.html/BI/21936/KBID/28297,309.0
ASUS Dual GeForce RTX 4060 OC Edition48th / 101,NVIDIA,GeForce RTX 4060,DUAL-RTX4060-O8G,8.0,GDDR6,1830.0,2535.0,115.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126665%26ignorebbr%3d1,309.99
ASUS Dual GeForce RTX 4060 OC Edition48th / 101,NVIDIA,GeForce RTX 4060,DUAL-RTX4060-O8G,8.0,GDDR6,1830.0,2535.0,115.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6549640&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6549640%2Fpdp&intsrc=CATF_4831,309.99
ASUS Dual GeForce RTX 4060 Ti OC Edition White34th / 101,NVIDIA,GeForce RTX 4060 Ti 8GB,DUAL-RTX4060TI-O8G-WHITE,8.0,GDDR6,2310.0,2595.0,165.0,PCIe x16,227.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.amazon.com/dp/B0C5SDCMF3?tag=pangoly0b-20,578.9
ASUS Dual GeForce RTX 407022nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://bestbuy.7tiv.net/c/2632153/633495/10014?prodsku=6540000&u=https%3A%2F%2Fapi.bestbuy.com%2Fclick%2F-%2F6540000%2Fpdp&intsrc=CATF_4831,419.99
ASUS Dual GeForce RTX 407022nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16814126639%26ignorebbr%3d1,529.99
ASUS Dual GeForce RTX 407022nd / 101,NVIDIA,GeForce RTX 4070,dual-rtx4070-12g,12.0,GDDR6X,1920.0,2505.0,200.0,PCIe x16,267.0,2 Fans,18.0,No,No,3.0,1.0,Yes,No,2.0,https://www.bhphotovideo.com/c/product/1759045-REG/asus_dual_rtx4070_12g_geforce_rtx_4070_dual.html/BI/21936/KBID/28297,569.99
