Name,Brand,Model,Cores,Threads,Base Clock,Turbo Clock,Socket,TDP,L3 Cache,Process,Integrated Graphics,Cooler Included,Seller,Seller_Product_URL,Availability,Price
Intel Core i9-14900KF7th / 575,Intel,BX8071514900KF,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1781470-REG/intel_bx8071514900kf_core_i9_14900kf_24_core_lga.html/BI/21936/KBID/28297,In Stock,434.99
Intel Core i9-14900KF7th / 575,Intel,BX8071514900KF,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,,No,Amazon.com,https://www.amazon.com/dp/B0CGJDBCTK?tag=pangoly0b-20,In Stock,441.97
Intel Core i9-14900KF7th / 575,Intel,BX8071514900KF,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118464%26ignorebbr%3d1,In Stock,441.97
Intel Core i9-14900KF7th / 575,Intel,BX8071514900KF,24.0,32.0,6.0,6000.0,LGA1700,125.0,36.0,10 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA24GK6P4739%26ignorebbr%3d1,Out of Stock,459.99
Intel Core i9-14900KS5th / 575,Intel,BX8071514900KS,24.0,32.0,3200.0,6.2,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,Amazon.com,https://www.amazon.com/dp/B0CXHMTHWP?tag=pangoly0b-20,In Stock,568.74
Intel Core i9-14900KS5th / 575,Intel,BX8071514900KS,24.0,32.0,3200.0,6.2,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIA6ZPKA80834%26ignorebbr%3d1,In Stock,649.99
Intel Core i9-14900KS5th / 575,Intel,BX8071514900KS,24.0,32.0,3200.0,6.2,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,Newegg,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3dN82E16819118496%26ignorebbr%3d1,In Stock,669.99
Intel Core i9-14900KS5th / 575,Intel,BX8071514900KS,24.0,32.0,3200.0,6.2,LGA1700,150.0,36.0,10 nm,Intel UHD Graphics 770,No,B&H Photo Video,https://www.bhphotovideo.com/c/product/1814098-REG/intel_bx8071514900ks_core_i9_14900ks_3_2_ghz.html/BI/21936/KBID/28297,In Stock,694.0
Intel Core i9-7960X OEM,Intel,CD8067303734802,18.0,32.0,2800.0,4400.0,LGA2066,165.0,22.0,14 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIAAEEHV31683%26ignorebbr%3d1,In Stock,1000.0
Intel Core i9-7980X OEM,Intel,CD8067303734902,18.0,36.0,4.2,4400.0,LGA2066,165.0,24.75,14 nm,,No,Newegg Sellers,https://click.linksynergy.com/deeplink?id=nwUw4CS3F2g&mid=44583&murl=https%3a%2f%2fwww.newegg.com%2fProduct%2fProduct.aspx%3fItem%3d9SIBGTJK632671%26ignorebbr%3d1,Out of Stock,785.0
