Name,CAS Latency,Voltage,Multi-channel Kit,Timing,Model,Price,Link
Kingston FURY Beast 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Memory (Desktop Memory) Model KF560C30BBEK2-32,CL30,1.40V,Dual Channel Kit,30-36-36,KF560C30BBEK2-32,$139.99,https://www.newegg.com/kingston-technology-corp-fury-beast-32gb-ddr5-6000-cas-latency-cl30-memory-black/p/N82E16820242860
Patriot Viper 3 16GB (2 x 8GB) 240-Pin PC RAM DDR3 1600 (PC3 12800) Desktop Memory Model PV316G160C9K,CL9,1.50V,,9-9-9-24,PV316G160C9K,$24.99,https://www.newegg.com/patriot-memory-viper-3-16gb-ddr3-1600-cas-latency-cl9-desktop-memory-black/p/N82E16820220686
Timetec Pinnacle Konduit 32GB KIT(2x16GB) DDR4 3200MHz PC4-25600 CL16-20-20-40 1.35V Dual Rank Compatible for AMD and Intel Desktop Gaming PC Memory Module - White,,,,,PKMD4U32C16CNHW16GK2,$80.99,https://www.newegg.com/p/0RN-00A3-001B7
KingSpec DDR4 RAM 32GB (2 x 16GB) 288-Pin DDR4 SDRAM Memory Module 3200 MHz 288-Pin UDIMM with Heatsink for Computer Desktop PC Memories Module Gaming,CL18,,Dual Channel Kit,,KS3200D4M13516G2R,$53.99,https://www.newegg.com/kingspec-ddr4-pc-series-32gb-ddr4-3200-cas-latency-cl18-memory-red/p/0RN-00FW-00033
G.SKILL Ripjaws V Series 64GB (4 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16Q-64GVK,CL16,1.35V,,16-18-18-38,F4-3200C16Q-64GVK,$199.99,https://www.newegg.com/g-skill-ripjaws-v-series-64gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232092
G.SKILL Flare X5 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J2836G32GX2-FX5,CL28,1.40V,Dual Channel Kit,28-36-36-96,F5-6000J2836G32GX2-FX5,$389.99,https://www.newegg.com/g-skill-flare-x5-64gb-ddr5-6000-cas-latency-cl28-desktop-memory-black/p/N82E16820374680
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop memory Model CMK32GX5M2B6000Z28,CL28,1.40V,Dual Channel Kit,28-36-36-96,CMK32GX5M2B6000Z28,$204.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl28-desktop-memory-gray/p/N82E16820982208
G.SKILL TridentZ RGB Series 16GB (2 x 8GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GTZR,CL16,1.35V,Dual Channel Kit,16-18-18-38,F4-3200C16D-16GTZR,$59.88,https://www.newegg.com/g-skill-tridentz-rgb-series-16gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820232476
Patriot Viper 3 16GB (2 x 8GB) 240-Pin PC RAM DDR3 1866 (PC3 15000) Desktop Memory Model PV316G186C0K,CL10,1.50V,Dual Channel Kit,10-11-10-30,PV316G186C0K,$24.99,https://www.newegg.com/patriot-memory-viper-3-16gb-ddr3-1866-cas-latency-cl10-desktop-memory-black/p/N82E16820220694
G.SKILL Ripjaws S5 Series 32GB (2 x 16GB) DDR5 5200 Desktop Memory Model F5-5200J4040A16GX2-RS5K,CL40,1.10V,Dual Channel Kit,40-40-40-83,F5-5200J4040A16GX2-RS5K,$161.99,https://www.newegg.com/g-skill-ripjaws-s5-series-32gb-ddr5-5200-cas-latency-cl40-desktop-memory-black/p/N82E16820374329
CORSAIR Vengeance 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMK32GX5M2E6000C36,CL36,1.35V,Dual Channel Kit,36-44-44-96,CMK32GX5M2E6000C36,$139.99,https://www.newegg.com/corsair-vengeance-32gb-ddr5-6000-cas-latency-cl36-desktop-memory-black/p/N82E16820236994
CORSAIR Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW32GX4M2E3200C16,CL16,1.35V,,16-20-20-38,CMW32GX4M2E3200C16,$139.99,https://www.newegg.com/corsair-vengeance-rgb-pro-32gb-ddr4-3200-cas-latency-cl16-desktop-memory-black/p/N82E16820236570
CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Custom Lab Cherry Blossom Desktop Memory Model CMH32GX5M2B6000Z30CB - Gray,CL30,1.40V,Dual Channel Kit,30-36-36-76,CMH32GX5M2B6000Z30CB,$175.99,https://www.newegg.com/corsair-vengeance-rgb-32gb-2-x-16gb-ddr5-6000-pc5-48000-cas-latency-cl30-desktop-memory-gray/p/N82E16820982276
Crucial 32GB (2 x 16GB) 262-Pin DDR5 SO-DIMM DDR5 5600 Laptop Memory Model CT2K16G56C46S5,CL46,1.10V,,46-45-45,CT2K16G56C46S5,$129.75,https://www.newegg.com/crucial-32gb-ddr5-5600-cas-latency-cl46-notebook-memory/p/N82E16820156316
Crucial 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model CT2K16G4DFRA32A,CL22,1.20V,,22-22-22,CT2K16G4DFRA32A,$135.99,https://www.newegg.com/crucial-32gb-ddr4-3200-cas-latency-cl22-desktop-memory-green/p/N82E16820156269
Team T-CREATE EXPERT 32GB (2 x 16GB) DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC38ADC01,CL38,1.25V,Dual Channel Kit,38-38-38-78,CTCED532G6000HC38ADC01,$159.99,https://www.newegg.com/team-group-t-create-expert-32gb-ddr5-6000-cas-latency-cl38-desktop-memory-black/p/N82E16820985004
Crucial 32GB 262-Pin DDR5 SO-DIMM DDR5 5600 Laptop Memory Model CT32G56C46S5,CL46,1.10V,,,CT32G56C46S5,$138.95,https://www.newegg.com/crucial-32gb-ddr5-5600-cas-latency-cl46-laptop-memory/p/N82E16820156315
